date,year,iso_week,week_of_year,ccfi,source_image,source_row,ocr_text,status,review_note
2024-05-17,2024,2024-W20,20,1311.85,微信图片_20260524162048_1109_1.jpg,11,"20240517 1,311.85",reviewed,
2024-05-24,2024,2024-W21,21,1389.16,微信图片_20260524162048_1109_1.jpg,10,"20240524 1,389.16",reviewed,
2024-05-31,2024,2024-W22,22,1495.98,微信图片_20260524162048_1109_1.jpg,9,"20240531 1,495.98",reviewed,
2024-06-07,2024,2024-W23,23,1592.57,微信图片_20260524162048_1109_1.jpg,8,"20240607 1,592.57",reviewed,
2024-06-14,2024,2024-W24,24,1733.47,微信图片_20260524162048_1109_1.jpg,7,"20240614 1,733.47",reviewed,
2024-06-21,2024,2024-W25,25,1829.22,微信图片_20260524162048_1109_1.jpg,6,"20240621 1,829.22",reviewed,
2024-06-28,2024,2024-W26,26,1922.46,微信图片_20260524162048_1109_1.jpg,5,"20240628 1,922.46",reviewed,
2024-07-05,2024,2024-W27,27,2011.33,微信图片_20260524162048_1109_1.jpg,4,"20240705 2,011.33",reviewed,
2024-07-12,2024,2024-W28,28,2085.05,微信图片_20260524162048_1109_1.jpg,3,"20240712 2,085.05",reviewed,
2024-07-19,2024,2024-W29,29,2153.56,微信图片_20260524162048_1109_1.jpg,2,"20240719 2,153.56",reviewed,
2024-07-26,2024,2024-W30,30,2180.69,微信图片_20260524162048_1109_1.jpg,1,"20240726 2,180.69",reviewed,
2024-08-02,2024,2024-W31,31,2133.48,微信图片_20260524162049_1110_1.jpg,13,"20240802 2,133.48",reviewed,
2024-08-09,2024,2024-W32,32,2138.32,微信图片_20260524162049_1110_1.jpg,12,"20240809 2,138.32",reviewed,
2024-08-16,2024,2024-W33,33,2073.41,微信图片_20260524162049_1110_1.jpg,11,"20240816 2,073.41",reviewed,
2024-08-23,2024,2024-W34,34,2019.27,微信图片_20260524162049_1110_1.jpg,10,"20240823 2,019.27",reviewed,
2024-08-30,2024,2024-W35,35,1974.46,微信图片_20260524162049_1110_1.jpg,9,"20240830 1,974.46",reviewed,
2024-09-06,2024,2024-W36,36,1912.46,微信图片_20260524162049_1110_1.jpg,8,"20240906 1,912.46",reviewed,
2024-09-13,2024,2024-W37,37,1818.31,微信图片_20260524162049_1110_1.jpg,7,"20240913 1,818.31",reviewed,
2024-09-20,2024,2024-W38,38,1742.19,微信图片_20260524162049_1110_1.jpg,6,"20240920 1,742.19",reviewed,
2024-09-27,2024,2024-W39,39,1638.42,微信图片_20260524162049_1110_1.jpg,5,"20240927 1,638.42",reviewed,
2024-10-11,2024,2024-W41,41,1476.98,微信图片_20260524162049_1110_1.jpg,4,"20241011 1,476.98",reviewed,
2024-10-18,2024,2024-W42,42,1405.22,微信图片_20260524162049_1110_1.jpg,3,"20241018 1,405.22",reviewed,
2024-10-25,2024,2024-W43,43,1366.40,微信图片_20260524162049_1110_1.jpg,2,"20241025 1,366.40",reviewed,
